ime,pozicija,ekipa,st_tekem,minute_na_tekmo,tocke,fgm-fga,fg%,3pm-3pa,3p%,ftm-fta,ft%
Deyonta Davis,C,MEM,62,15.2,5.8,2.6-4.3,.608,0.0-0.0,.000,0.6-0.9,.667
Jonas Jerebko,PF,UTAH,74,15.3,5.8,2.1-4.6,.466,0.9-2.1,.414,0.6-0.8,.807
Dante Cunningham,SF,NO/BKN,73,21.4,5.7,2.2-5.0,.451,0.8-2.3,.345,0.4-0.7,.596
Bismack Biyombo,C,ORL,82,18.2,5.7,2.2-4.3,.520,0.0-0.0,.000,1.2-1.9,.650
Shaun Livingston,PG,GS,71,15.9,5.5,2.4-4.8,.501,0.0-0.1,.000,0.7-0.9,.820
Norman Powell,SF,TOR,70,15.2,5.5,2.1-5.3,.401,0.8-2.7,.285,0.5-0.6,.821
Wesley Johnson,SF,LAC,74,20.1,5.4,2.0-5.0,.408,0.8-2.4,.339,0.6-0.8,.741
Zaza Pachulia,C,GS,69,14.1,5.4,2.2-3.8,.564,0.0-0.0,.000,1.1-1.3,.806
Vince Carter,SF,SAC,58,17.7,5.4,2.0-4.9,.403,1.0-2.8,.345,0.5-0.6,.757
Pat Connaughton,SG,POR,82,18.1,5.4,2.0-4.8,.423,0.9-2.6,.352,0.5-0.5,.841
Maximilian Kleber,PF,DAL,72,16.8,5.4,2.1-4.3,.489,0.6-1.8,.313,0.6-0.8,.746
Ed Davis,PF,POR,78,18.9,5.3,2.2-3.7,.582,0.0-0.0,.000,0.9-1.4,.667
Corey Brewer,F,LAL/OKC,72,16.8,5.3,2.0-4.4,.449,0.4-1.5,.282,0.9-1.3,.722
Daniel Theis,PF,BOS,63,14.8,5.3,2.0-3.7,.541,0.3-0.9,.310,1.0-1.3,.753
Tyus Jones,PG,MIN,82,17.9,5.1,1.8-4.0,.457,0.5-1.6,.349,0.9-1.0,.877
Royce O'Neale,SF,UTAH,69,16.7,5.0,1.7-4.1,.423,0.6-1.7,.356,0.9-1.1,.803
Thon Maker,PF,MIL,74,16.7,4.8,1.8-4.3,.411,0.4-1.4,.298,0.9-1.3,.699
JaVale McGee,C,GS,65,9.5,4.8,2.1-3.4,.621,0.0-0.1,.000,0.6-0.8,.731
Ian Mahinmi,C,WSH,77,14.9,4.8,1.8-3.2,.556,0.0-0.0,.000,1.2-1.7,.703
Alex Abrines,SG,OKC,75,15.1,4.7,1.5-3.9,.395,1.1-2.9,.380,0.5-0.6,.848
Amir Johnson,C,PHI,74,15.8,4.6,1.9-3.5,.538,0.1-0.4,.313,0.7-1.1,.612
Zach Collins,PF,POR,66,15.8,4.4,1.7-4.4,.398,0.5-1.7,.310,0.4-0.6,.643
Treveon Graham,SG,CHA,63,16.7,4.3,1.5-3.5,.434,0.6-1.5,.412,0.7-0.9,.695
Sam Dekker,SF,LAC,73,12.1,4.2,1.8-3.5,.494,0.1-0.8,.167,0.5-0.8,.661
Lance Thomas,SF,NY,73,18.5,4.1,1.4-3.7,.382,0.7-1.7,.403,0.6-0.7,.830
Kevon Looney,SF,GS,66,13.8,4.0,1.7-2.9,.580,0.0-0.1,.200,0.6-1.2,.545
Cedi Osman,SF,CLE,61,11.0,3.9,1.5-3.0,.484,0.5-1.4,.368,0.4-0.8,.565
Patrick Patterson,PF,OKC,82,15.5,3.9,1.3-3.2,.399,0.8-2.1,.386,0.5-0.6,.870
Sindarius Thornwell,SG,LAC,73,15.8,3.9,1.4-3.2,.429,0.3-0.8,.377,0.8-1.2,.670
Wesley Iwundu,SF,ORL,62,16.5,3.7,1.5-3.5,.427,0.1-0.7,.196,0.5-0.8,.723
Salah Mejri,C,DAL,61,12.0,3.5,1.4-2.2,.642,0.0-0.0,.000,0.6-1.1,.576
Malik Beasley,SG,DEN,62,9.5,3.2,1.2-2.9,.410,0.5-1.3,.341,0.4-0.5,.667
Terrance Ferguson,SG,OKC,61,12.5,3.1,1.1-2.8,.414,0.7-2.0,.333,0.1-0.2,.900
Tim Frazier,PG,WSH,59,14.2,3.0,1.2-2.9,.395,0.3-0.9,.304,0.4-0.5,.767
Semi Ojeleye,PF,BOS,73,15.8,2.7,0.9-2.6,.346,0.5-1.7,.320,0.3-0.6,.610
Ekpe Udoh,C,UTAH,63,12.9,2.6,1.0-1.9,.500,0.0-0.0,.000,0.7-0.9,.750
Josh Huestis,F,OKC,69,14.2,2.3,0.9-2.6,.330,0.5-1.7,.287,0.1-0.3,.300
Brandon Paul,G,SA,64,9.0,2.3,0.9-2.0,.433,0.2-0.8,.278,0.3-0.7,.512
Eric Moreland,C,DET,67,12.0,2.1,1.0-1.8,.541,0.0-0.0,.000,0.2-0.4,.379
DeAndre Liggins,G,NO/MIL,58,12.5,1.7,0.7-1.8,.377,0.3-0.9,.358,0.0-0.1,.400
